age,gpa,application_order,study_time_week,daytime/evening_classes,attendance,extracurriculars,previous_qualification,displaced,entertainment_hours,work,average_sleep,mental_health
17,2.93,5,19.833722807854716,0,7.0,0,14,0,4.0,0,5,2.675
18,3.04,5,15.40875605584674,0,0.0,0,3,1,5.0,1,5,2.4
15,0.11,3,4.21056976881226,1,26.0,0,2,0,5.0,1,6,9.725
17,2.05,1,10.028829473958217,1,14.0,1,3,0,4.0,0,7,4.875
17,1.29,5,4.6724952729713305,1,17.0,0,4,0,4.0,1,6,6.775
18,3.08,2,8.191218545250186,1,0.0,1,15,0,4.0,1,9,2.3
15,2.75,3,15.601680474699297,1,10.0,0,5,0,7.0,0,5,3.125
15,1.36,3,15.424496305808074,1,22.0,1,12,0,2.0,0,6,6.6
17,2.9,5,4.562007558047703,1,1.0,0,13,0,6.0,0,5,2.75
16,3.57,1,18.4444663630972,1,0.0,1,9,0,6.0,1,6,1.0750000000000004
17,2.15,1,11.851363655296536,0,11.0,0,8,0,7.0,1,4,4.625
17,1.56,3,7.59848581924029,1,15.0,0,2,1,7.0,1,7,6.1
17,1.52,3,10.038711615617212,0,21.0,1,13,0,2.0,1,9,6.2
17,1.75,4,12.101425068754876,0,21.0,0,5,0,3.0,1,9,5.625
18,2.4,1,11.197810636915708,0,9.0,0,6,0,9.0,1,5,4.0
15,1.34,5,9.728100710723565,0,17.0,0,2,0,6.0,0,6,6.65
18,2.23,6,10.098656081788002,1,14.0,1,7,0,6.0,0,7,4.425
18,1.38,5,3.5282382085577235,1,16.0,0,14,0,3.0,1,6,6.550000000000001
18,0.47,1,16.25465808609359,1,29.0,1,5,0,3.0,1,9,8.825000000000001
17,2.4,2,10.835206398820308,0,9.0,0,6,1,9.0,0,4,4.0
16,2.78,4,2.621597234094062,1,2.0,0,2,0,4.0,1,5,3.0500000000000007
15,0.35,5,15.32314203165556,0,25.0,1,11,0,2.0,1,10,9.125
16,0.31,1,18.648879567547016,1,29.0,0,4,0,7.0,0,8,9.225
18,1.77,4,18.94613798473924,1,20.0,1,8,0,6.0,0,6,5.575
18,1.51,2,7.380354648223455,1,15.0,0,14,0,7.0,0,3,6.2250000000000005
16,2.98,6,2.7103374712150807,0,5.0,0,2,0,5.0,1,7,2.55
16,2.95,4,10.367992532661304,1,2.0,0,10,0,5.0,0,6,2.6249999999999996
16,2.15,1,2.2521845869844137,1,8.0,0,8,1,4.0,0,6,4.625
18,2.85,6,18.679748370252344,0,10.0,1,12,0,6.0,1,5,2.875
18,1.52,4,3.67159254710292,1,20.0,1,13,0,4.0,0,4,6.2
15,1.73,3,5.055317199023282,1,12.0,0,13,0,4.0,0,8,5.675
15,1.85,6,8.132730537699409,1,17.0,0,7,0,2.0,1,6,5.375
18,0.38,1,7.663289371182516,1,25.0,0,11,0,4.0,0,5,9.05
